DIRECTORIO,NRO_ENCUESTA,HOGAR_NUMERO,PERSONA_NUMERO,P606,P203,P2057,P2059,P2061,P2063,P2063S3,P2065,P2065S3,P3038,P3039
83251,252,1,1,1,99,2,2,2,1,,1,,1,2
83252,252,1,1,4,1,2,2,2,1,,1,,2,1
83252,252,1,2,4,1,2,2,2,1,,1,,1,2
83252,252,1,3,3,2,2,2,2,1,,1,,1,2
83253,252,1,1,1,2,2,2,2,1,,3,1,2,1
83253,252,1,2,4,2,2,2,2,1,,3,1,1,2
83254,252,1,1,4,2,2,2,2,1,,1,,1,2
83254,252,1,2,4,2,2,2,2,1,,1,,1,2
83254,252,1,3,4,2,2,2,2,1,,1,,1,2
83254,252,1,4,4,2,2,2,2,1,,1,,1,2
83254,252,1,5,4,2,2,2,2,1,,1,,1,2
83255,252,1,1,1,99,2,2,2,1,,1,,2,1
83255,252,1,2,1,99,2,2,2,1,,1,,1,2
83256,252,1,1,1,1,2,2,2,1,,1,,1,2
83256,252,1,2,4,2,2,2,2,1,,1,,1,2
83257,252,1,1,1,2,2,2,2,1,,1,,2,1
83257,252,1,2,4,2,2,2,2,1,,1,,1,2
83261,252,1,1,4,1,2,2,2,1,,1,,1,2
83261,252,1,2,1,1,2,2,2,1,,1,,2,1
83261,252,1,3,1,1,2,2,2,1,,1,,2,1
83261,252,1,4,1,1,2,2,2,1,,1,,2,1
83261,252,1,5,2,2,2,2,2,1,,1,,1,2
83261,252,1,7,1,1,2,2,2,1,,1,,2,1
83261,252,1,8,1,1,1,,2,1,,1,,1,2
83261,252,1,10,2,2,2,2,2,1,,1,,2,1
83262,252,1,1,1,1,2,2,2,1,,1,,2,1
83262,252,1,2,1,1,2,2,2,1,,1,,1,2
83262,252,1,3,2,2,2,2,2,1,,1,,2,1
83263,252,1,1,4,2,2,2,2,1,,1,,1,2
83263,252,1,2,1,1,2,2,2,1,,1,,1,2
83263,252,1,3,1,1,2,2,2,1,,1,,1,2
83263,252,1,6,4,2,2,2,2,1,,1,,1,2
83263,252,1,7,1,99,2,2,2,1,,1,,2,1
83264,252,1,1,1,2,2,2,2,1,,1,,1,2
83264,252,1,2,3,2,2,2,2,1,,1,,2,1
83265,252,1,1,4,2,2,2,2,1,,1,,2,1
83265,252,1,2,4,2,2,2,2,1,,1,,1,2
83266,252,1,1,1,1,2,2,2,1,,1,,2,1
83266,252,1,2,4,2,2,2,1,1,,1,,1,2
83267,252,1,1,2,2,2,2,2,1,,1,,2,1
83267,252,1,2,4,2,2,2,2,1,,1,,1,2
83268,252,1,1,4,2,2,2,2,1,,1,,1,2
83268,252,1,2,4,2,2,2,2,1,,1,,1,2
83268,252,1,3,1,2,2,2,2,1,,1,,2,1
83269,252,1,1,2,2,2,99,2,1,,1,,2,1
83269,252,1,2,4,2,2,2,2,1,,1,,1,2
83270,252,1,1,1,1,2,2,2,1,,1,,2,1
83271,252,1,1,4,2,1,,2,1,,1,,1,2
83271,252,1,2,1,1,2,2,2,1,,1,,2,1
83271,252,1,3,3,2,2,2,2,1,,1,,1,2
83271,252,1,4,3,2,2,2,2,1,,1,,2,1
83272,252,1,1,4,2,2,2,2,1,,1,,1,2
