DIRECTORIO,REGION,DPTO_CAUCA,PDET,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P,FEX_P_PDET
85132,1,,2,1,1,2,1,1,1,1,1,3,1,1,1146.4147866,
85133,1,,2,1,1,2,1,2,1,1,1,3,1,1,1729.0835519,
85134,1,,2,1,1,1,1,1,1,1,1,3,1,1,917.22224677,
85135,1,,2,1,1,2,1,2,1,1,1,3,1,1,1328.0225456,
85136,1,,2,1,1,2,1,2,1,1,1,3,1,1,1536.1816046,
85137,1,,2,1,1,2,1,2,1,1,1,3,1,1,1528.5530488,
85138,1,,2,1,1,2,1,2,1,1,1,3,1,1,1660.028182,
85139,1,,2,1,1,2,1,3,1,1,1,2,1,1,1343.9304891,
85140,1,,2,1,1,2,1,1,1,1,1,2,1,1,1041.0838328,
85141,1,,2,1,1,2,1,3,1,1,1,2,1,1,1157.4723019,
85142,1,,2,1,1,2,1,1,1,1,1,2,1,1,1265.0385694,
85143,1,,2,1,1,2,1,2,1,1,1,3,1,1,913.5510844,
85144,1,,2,1,1,2,1,2,1,1,1,3,1,1,948.58753256,
85145,1,,2,1,1,2,1,2,1,1,1,3,1,1,948.58753256,
85146,1,,2,1,1,2,1,2,1,1,1,3,1,1,877.41861403,
85147,1,,2,1,1,2,1,1,1,1,1,2,1,1,1160.0740612,
85148,1,,2,1,1,2,1,2,1,1,1,2,1,1,1273.1631635,
85149,1,,2,1,1,2,1,1,1,1,1,3,1,1,1114.7713729,
85150,1,,2,1,1,1,1,1,1,1,1,3,1,1,1256.4500798,
85151,1,,2,1,1,2,1,1,1,1,1,3,1,1,1313.9629138,
85152,1,,2,1,1,2,1,1,1,1,1,2,1,1,1362.1988469,
85153,1,,2,1,1,2,1,1,1,1,1,3,1,1,1280.1905964,
85154,1,,2,1,1,1,1,1,1,1,1,3,1,1,1054.2041643,
85155,1,,2,1,1,2,1,3,1,1,1,2,1,1,1343.9304891,
85156,1,,2,1,1,2,1,3,1,1,1,3,1,1,1071.9107308,
85157,1,,2,1,1,2,1,3,1,1,1,2,1,1,1421.2861681,
85158,1,,2,1,1,2,1,3,1,1,1,3,1,1,1195.7235927,
85159,1,,2,1,1,2,1,3,1,1,1,3,1,1,1423.4513176,
85160,1,,2,1,1,2,1,3,1,1,1,2,1,1,1421.8061484,
85161,3,,2,1,1,1,1,2,1,1,1,7,1,1,736.28794748,
85162,3,,2,1,1,1,1,2,1,1,1,3,1,1,1145.4824606,
85163,3,,2,1,1,2,1,3,1,1,1,3,1,1,900.35429862,
85164,3,,2,1,1,2,1,3,1,1,1,3,1,1,794.20251182,
85165,3,,2,1,1,3,1,3,1,1,1,7,1,1,756.19925201,
85166,3,,2,1,1,2,1,3,1,1,1,5,1,1,908.91113122,
85167,3,,2,1,1,2,1,3,1,1,1,3,1,1,756.19925201,
85168,3,,2,1,1,2,1,3,1,1,1,2,1,1,815.30996176,
85169,3,,2,1,1,2,1,3,1,1,1,3,1,1,1215.3851374,
85170,3,,2,1,1,2,1,3,1,1,1,3,1,1,900.35429862,
85173,3,,2,1,1,1,1,2,1,1,1,2,1,1,382.28326281,
85176,3,,2,1,1,2,1,2,1,1,1,2,1,1,524.78460877,
85178,3,,2,1,1,2,1,2,1,1,1,4,1,1,567.81862596,
85181,3,,2,1,1,2,1,2,1,1,1,2,1,1,438.66495342,
85183,3,,2,1,1,2,1,2,1,1,1,2,1,1,528.79474257,
85184,3,,2,1,1,2,1,2,1,1,1,2,1,1,781.26490926,
85191,3,,2,1,1,1,1,2,1,1,1,3,1,1,622.77742067,
85192,3,,2,1,1,1,1,1,1,1,1,3,1,1,736.07283888,
85193,3,,2,1,1,1,1,1,1,1,1,2,1,1,794.49793926,
85194,3,,2,1,1,2,1,1,2,1,1,3,1,1,1079.6314165,
85195,3,,2,1,1,2,1,1,2,1,1,3,1,1,630.3192103,
85196,3,,2,1,1,2,1,1,2,1,1,3,1,1,962.26426768,
85197,3,,2,1,1,2,1,1,2,1,1,3,1,1,1113.1075171,
85198,3,,2,1,1,1,1,1,2,1,1,3,1,1,1096.3981356,
85199,3,,2,1,1,1,1,2,1,1,1,2,1,1,633.8994433,
85200,3,,2,1,1,2,1,2,1,1,1,3,1,1,958.565633,
85201,3,,2,1,1,1,1,2,1,1,1,3,1,1,854.37700292,
85202,3,,2,1,1,1,1,2,1,1,1,3,1,1,1195.9609481,
85203,3,,2,1,1,1,1,2,1,1,1,3,1,1,935.76193429,
85204,3,,2,1,1,1,1,2,1,1,1,3,1,1,1098.5277956,
85205,3,,2,1,1,1,1,2,1,1,1,3,1,1,1192.8058083,
85206,3,,2,1,1,1,1,2,1,1,1,3,1,1,956.85655471,
85207,3,,2,1,1,1,1,2,1,1,1,3,1,1,928.30668405,
85208,3,,2,1,1,1,1,2,1,1,1,3,1,1,965.72374168,
85209,3,,2,1,1,1,1,1,1,1,1,3,1,1,962.26426768,
85210,2,,2,1,1,1,1,1,1,2,1,3,1,1,1315.1046315,
85211,2,,2,1,1,1,1,1,2,2,1,3,1,1,1448.2392338,
85212,2,,2,1,1,1,1,1,1,2,1,3,1,1,1356.5324231,
85213,2,,2,1,1,1,1,1,1,2,1,3,1,1,1353.9352584,
85214,2,,2,1,1,1,1,1,1,2,1,3,1,1,1607.4225186,
85215,2,,2,1,1,2,1,2,1,1,1,3,1,1,1182.1797006,
85216,2,,2,1,1,1,1,2,1,1,1,3,1,1,1372.048102,
85217,2,,2,1,1,1,1,2,1,1,1,3,1,1,1268.9038361,
85218,2,,2,1,1,1,1,2,1,1,1,3,1,1,1310.3316277,
85219,2,,2,2,1,1,1,1,2,2,2,,2,1,399.75769784,
85220,2,,2,2,1,1,1,1,2,2,2,,1,1,395.89123445,
85221,2,,2,2,1,1,1,1,2,2,2,,1,1,395.21865107,
85222,2,,2,2,1,1,1,1,2,2,2,,1,1,373.36882928,
85223,2,,2,2,1,1,1,1,2,2,2,,2,1,424.57582557,
85224,2,,2,2,1,1,1,1,2,2,2,,1,1,426.60096792,
85225,2,,2,2,1,4,1,1,2,2,2,,1,1,370.14739781,
85226,2,,2,2,1,4,1,1,2,2,2,,2,1,366.28093442,
85227,2,,2,2,1,1,1,1,2,2,2,,1,1,403.62416122,
85228,2,,2,2,1,1,1,1,2,2,2,,2,1,382.22169581,
85231,5,,2,1,1,2,1,1,2,2,1,3,2,1,175.36959086,
85232,5,,2,1,1,2,1,1,2,2,2,,2,1,154.02638006,
85233,5,,2,1,1,1,1,1,2,2,1,3,2,1,170.40092603,
85234,5,,2,1,1,1,1,1,2,2,1,3,2,1,145.26166966,
85235,5,,2,1,1,1,1,1,2,2,1,3,2,1,152.34084818,
85236,5,,2,1,1,1,1,1,2,2,1,3,2,1,147.1475826,
85237,5,,2,1,1,1,2,,2,2,1,3,2,1,141.89011376,
85238,2,,2,1,1,1,1,0,2,2,2,,2,1,316.95991507,
85239,2,,2,1,1,1,1,0,2,2,2,,2,1,339.00879289,
85240,2,,2,1,1,1,1,0,2,2,2,,2,1,377.18090205,
85241,2,,2,1,1,1,1,0,2,2,2,,2,1,326.73249355,
85242,2,,2,1,1,1,1,0,2,2,2,,2,1,355.52516679,
85243,2,,2,1,1,1,1,0,2,2,2,,2,1,377.9051179,
85244,2,,2,1,1,1,1,0,2,2,2,,2,1,355.52516679,
85245,2,,2,1,1,1,1,0,2,2,2,,2,1,355.88727472,
85246,2,,2,1,1,1,1,0,2,2,2,,2,1,377.9051179,
85247,2,,2,1,1,1,1,0,2,2,2,,2,1,377.9051179,
85248,2,,2,1,1,1,1,1,2,2,1,3,1,1,295.74789063,
85249,2,,2,1,1,1,1,1,1,2,1,2,1,1,308.18981172,
85250,2,,2,1,1,1,1,1,1,2,1,2,1,1,333.70659116,
85251,2,,2,1,1,1,1,1,1,2,1,2,1,1,298.01710667,
85252,2,,2,1,1,1,1,1,1,2,1,3,1,1,369.06688662,
85253,2,,2,1,1,1,1,1,1,2,1,2,1,1,263.99161159,
85254,2,,2,1,1,1,1,1,1,2,1,3,1,1,275.37426723,
85255,2,,2,1,1,1,1,1,1,2,1,3,1,1,275.70345625,
85256,2,,2,1,1,1,1,1,1,2,1,3,1,1,343.55010718,
85257,2,,2,1,1,1,1,1,2,2,1,3,2,1,343.87929621,
85258,2,,2,1,1,1,1,1,1,2,1,3,1,2,324.8686865,
85259,2,,2,1,1,1,1,1,1,2,1,3,1,1,190.29568601,
85260,2,,2,1,1,1,1,1,1,2,1,3,1,1,155.111554,
85261,2,,2,1,1,1,1,1,1,2,1,3,1,1,138.03226748,
85262,2,,2,1,1,1,1,1,1,2,1,3,1,1,210.14845879,
85263,2,,2,1,1,1,1,1,1,2,1,3,1,1,210.14845879,
85264,2,,2,1,1,1,1,1,1,2,1,3,1,1,203.73063464,
85265,2,,2,1,1,1,1,1,1,2,1,3,1,1,197.71515262,
85266,2,,2,1,1,1,1,1,1,2,1,3,1,1,209.94728772,
85267,2,,2,1,1,1,1,1,1,2,1,3,1,1,210.14845879,
85268,2,,2,1,1,1,1,1,1,2,1,3,1,1,170.21071392,
85269,2,,2,1,1,1,1,1,1,2,1,3,1,1,197.69791116,
85270,2,,2,1,1,1,1,1,1,2,1,3,1,1,209.74611665,
85271,2,,2,1,1,1,1,3,1,1,1,3,1,1,282.02757998,
85272,2,,2,1,1,1,1,1,1,1,1,3,1,1,149.82884429,
85273,2,,2,1,1,1,1,1,1,1,1,3,1,1,198.04366971,
85274,2,,2,1,1,1,1,1,1,1,1,3,1,1,174.33371357,
85275,2,,2,1,1,1,1,1,1,1,1,3,1,1,189.07103922,
85276,2,,2,1,1,1,1,1,1,1,1,3,1,1,150.93597764,
85277,2,,2,1,1,1,1,1,1,1,1,3,1,1,192.459129,
85278,2,,2,1,1,2,1,1,2,1,1,3,2,1,456.82779835,
85279,2,,2,1,1,2,1,1,1,1,1,3,1,1,185.90417363,
85280,2,,2,1,1,2,1,1,1,1,1,3,1,1,595.45454603,
85281,2,,2,1,1,1,1,1,1,1,1,3,1,1,146.44966239,
85282,2,,2,1,1,1,1,1,1,1,1,3,1,1,450.73456885,
85283,2,,2,1,1,1,1,1,1,1,1,3,1,1,154.05727033,
85284,2,,2,1,1,1,1,1,1,1,1,3,1,1,462.01128456,
85285,2,,2,1,1,1,1,1,1,1,1,3,1,1,346.40507849,
85286,2,,2,1,1,1,1,1,1,1,1,3,1,1,246.64014027,
85287,2,,2,1,1,1,1,1,1,1,1,3,1,1,146.6619787,
85288,2,,2,1,1,1,1,1,1,1,1,3,1,1,518.16585079,
85289,2,,2,1,1,2,1,1,1,1,1,3,1,1,517.76566663,
85290,2,,2,1,1,1,1,1,1,1,1,3,1,1,215.65492029,
85291,2,,2,1,1,1,1,1,1,1,1,3,1,1,257.13581521,
85292,2,,2,1,1,2,1,1,1,1,1,3,1,1,347.11086767,
85293,2,,2,1,1,1,1,1,1,1,1,3,1,1,263.61281052,
85294,2,,2,1,1,1,1,1,1,1,1,3,1,1,347.11086767,
85295,2,,2,1,1,2,1,1,1,1,1,3,1,1,236.92886388,
85296,2,,2,1,1,1,1,1,1,1,1,3,1,1,363.67572396,
85297,2,,2,1,1,1,1,1,1,1,1,3,1,1,353.34935731,
85298,2,,2,1,1,1,1,1,1,1,1,3,1,1,217.2227686,
85299,2,,2,1,1,1,1,1,1,1,1,3,1,1,355.39329582,
85300,2,,2,1,1,1,1,1,1,1,1,3,1,1,408.81490272,
85301,2,,2,1,1,1,1,1,1,1,1,3,1,1,349.44619481,
85302,2,,2,1,1,1,1,1,1,1,1,3,1,1,177.64363,
85303,2,,2,1,1,1,1,1,1,1,1,3,1,1,217.2227686,
85304,2,,1,1,1,1,1,2,1,1,1,2,1,1,1293.2355585,1293.2355585
85305,2,,1,1,1,1,1,2,1,1,1,3,1,1,1073.4145517,1073.4145517
85306,2,,1,1,1,1,1,2,1,1,1,3,1,1,825.43561694,825.43561694
85307,2,,1,1,1,2,1,2,1,1,1,3,1,1,1241.3957949,1241.3957949
85308,2,,1,1,1,1,1,2,1,1,1,3,1,1,695.29071114,695.29071114
85309,2,,1,1,1,5,1,2,1,1,1,2,1,1,775.28850385,775.28850385
85310,2,,1,1,1,1,1,2,1,1,1,3,1,1,969.53293906,969.53293906
85311,2,,1,1,1,1,1,2,1,1,1,3,1,1,831.59098321,831.59098321
85312,2,,1,1,1,1,1,2,1,1,1,3,1,1,827.67075742,827.67075742
85313,2,,1,1,1,1,1,2,1,1,1,3,1,1,775.28850385,775.28850385
85314,2,,1,1,1,1,1,1,1,1,1,2,1,1,580.2321543,580.2321543
85315,2,,1,1,1,1,1,1,1,1,1,3,1,1,505.98481033,505.98481033
85316,2,,1,1,1,1,1,1,1,1,1,3,1,1,403.43382361,403.43382361
85317,2,,1,1,1,2,1,1,1,1,1,3,1,1,597.36326263,597.36326263
85318,2,,1,1,1,1,1,3,1,1,1,3,1,1,897.40098031,897.40098031
85319,2,,1,1,1,1,1,1,1,1,1,3,1,1,631.73169972,631.73169972
85320,2,,1,1,1,2,1,1,1,1,1,3,1,1,596.01652683,596.01652683
85321,2,,1,1,1,1,1,1,2,1,1,3,1,1,508.73840312,508.73840312
85322,2,,1,1,1,1,1,1,1,1,1,3,1,1,592.28772116,592.28772116
85323,2,,1,1,1,1,1,1,1,1,1,3,1,1,568.45953366,568.45953366
85324,2,,1,1,1,1,1,1,1,1,1,3,1,1,798.41353451,798.41353451
85325,2,,1,1,1,2,1,1,1,1,1,3,1,1,728.00321337,728.00321337
85326,2,,1,1,1,1,1,3,1,1,1,3,1,1,817.48314143,817.48314143
85327,2,,1,1,1,1,1,3,1,1,1,3,1,1,672.04730351,672.04730351
85328,2,,1,1,1,1,1,3,1,1,1,3,1,1,850.91416505,850.91416505
85329,2,,1,1,1,1,1,1,1,1,1,3,1,1,798.41353451,798.41353451
85330,2,,1,1,1,2,1,2,1,1,1,3,1,1,1375.0828297,1375.0828297
85331,2,,1,1,1,1,1,2,1,1,1,3,1,1,1028.030409,1028.030409
85332,2,,1,1,1,1,1,1,1,1,1,3,2,1,790.31838463,790.31838463
85333,2,,1,1,1,1,1,1,1,1,1,3,2,1,778.13072722,778.13072722
85334,2,,1,1,1,1,1,1,1,1,1,2,2,1,907.05383601,907.05383601
85335,2,,1,1,1,1,1,1,2,2,1,3,2,1,923.2260325,923.2260325
85336,2,,1,1,1,1,1,1,1,1,1,3,2,1,886.16373863,886.16373863
85337,2,,1,1,1,1,1,1,2,2,2,,2,1,778.13072722,778.13072722
85338,2,,1,1,1,1,1,1,2,2,2,,2,1,784.22455593,784.22455593
85339,2,,1,1,1,2,1,1,1,1,1,3,2,1,789.49824463,789.49824463
85340,2,,1,1,1,1,1,1,1,1,1,3,2,1,924.04617251,924.04617251
85341,2,,1,1,1,1,1,1,1,2,1,3,2,1,566.53182987,566.53182987
85342,2,,1,1,1,1,1,1,1,2,1,2,2,1,666.50568023,666.50568023
85343,2,,1,1,1,1,1,1,1,2,1,2,2,1,558.56787227,558.56787227
85344,2,,1,1,1,1,1,1,2,2,2,,2,1,568.9713436,568.9713436
85345,2,,1,1,1,1,1,0,1,2,1,3,2,2,487.59931429,487.59931429
85346,2,,1,1,1,1,1,1,1,2,1,3,2,1,435.1135463,435.1135463
85347,2,,1,1,1,1,1,1,1,2,2,,2,1,394.53241184,394.53241184
85348,2,,1,1,1,1,1,1,1,1,1,3,2,1,519.42721587,519.42721587
85349,2,,1,1,1,1,1,2,1,2,1,3,2,1,483.36627222,483.36627222
85350,2,,1,1,1,1,1,1,2,2,1,3,2,1,487.09718775,487.09718775
85352,2,,1,1,1,1,1,1,2,2,1,3,2,1,421.38533924,421.38533924
85353,2,,1,1,1,1,1,1,1,2,1,3,2,1,385.13319359,385.13319359
85354,2,,1,1,1,1,1,3,1,1,1,3,1,1,592.86150646,592.86150646
85355,2,,1,1,1,1,1,3,1,1,1,3,1,1,707.07101836,707.07101836
85356,2,,1,1,1,1,1,3,1,1,1,3,1,1,536.71231791,536.71231791
85357,2,,1,1,1,1,1,3,1,1,1,3,1,1,331.26993937,331.26993937
85358,2,,1,1,1,1,1,3,1,1,1,3,1,1,621.99290632,621.99290632
85359,2,,1,1,1,1,1,2,1,1,1,3,1,1,1007.234249,1007.234249
85360,2,,1,1,1,1,1,2,1,1,1,3,1,1,1195.4917858,1195.4917858
85361,2,,1,1,1,1,1,1,1,1,1,3,1,1,902.28370814,902.28370814
85362,2,,1,1,1,1,1,2,1,1,1,3,1,1,1042.1240173,1042.1240173
85363,2,,1,1,1,2,1,1,1,1,1,2,1,1,1207.9472233,1207.9472233
85364,2,,1,1,1,2,1,2,1,1,1,3,1,1,1048.1510901,1048.1510901
85365,2,,1,1,1,1,1,2,1,1,1,2,1,1,1012.7585584,1012.7585584
85366,2,,1,1,1,2,1,2,1,1,1,3,1,1,889.29225968,889.29225968
85367,2,,1,1,1,1,1,3,1,1,1,3,1,1,589.20079858,589.20079858
85368,2,,1,1,1,2,1,2,1,1,1,3,1,1,1129.3936029,1129.3936029
85369,2,,1,1,1,1,1,2,1,1,1,3,1,1,1048.1510901,1048.1510901
85370,2,,1,1,1,2,1,2,1,1,1,3,1,1,994.2763476,994.2763476
85371,2,,1,1,1,2,1,1,1,1,1,3,1,1,659.2942814,659.2942814
85372,2,,1,1,1,2,1,2,1,1,1,3,1,1,1172.9925318,1172.9925318
85373,2,,1,1,1,2,1,3,1,1,1,3,1,1,506.70584679,506.70584679
85374,2,,1,1,1,2,1,3,1,1,1,3,1,1,1179.1699763,1179.1699763
85375,2,,1,1,1,1,1,3,1,1,1,3,1,1,1061.9679185,1061.9679185
85376,2,,1,1,1,2,1,2,1,1,1,3,1,1,988.7019154,988.7019154
85377,2,,1,1,1,2,1,2,1,1,1,3,1,1,1048.5107618,1048.5107618
85378,2,,1,1,1,2,1,2,1,1,1,3,1,1,691.31044216,691.31044216
85379,2,,1,1,1,2,1,1,1,1,1,3,1,1,894.43273784,894.43273784
85380,2,,1,1,1,2,1,1,1,1,1,3,1,1,617.7055316,617.7055316
85381,2,,1,1,1,2,1,1,1,1,1,3,1,1,825.94394474,825.94394474
85382,2,,1,1,1,1,1,2,1,1,1,3,1,1,593.64264945,593.64264945
85383,2,,1,1,1,1,1,1,1,1,1,3,1,1,723.58157637,723.58157637
85384,2,,1,1,1,1,1,2,1,1,1,3,1,1,669.35279863,669.35279863
85385,2,,1,1,1,1,1,1,1,1,1,3,1,1,732.18007441,732.18007441
85386,2,,1,1,1,2,1,1,1,1,1,3,1,1,884.97326542,884.97326542
85387,2,,1,1,1,2,1,1,1,1,1,3,1,1,428.53792845,428.53792845
85388,2,,1,1,1,2,1,1,1,1,1,3,1,1,982.64164693,982.64164693
85389,2,,1,1,1,2,1,1,1,1,1,3,1,1,971.84339572,971.84339572
85390,2,,1,1,1,2,1,2,1,1,1,3,1,1,765.69478981,765.69478981
85391,2,,1,1,1,2,1,1,1,1,1,3,1,1,695.75345402,695.75345402
85392,2,,1,1,1,2,1,1,2,2,1,3,1,1,653.6566472,653.6566472
85393,2,,1,1,1,1,1,1,1,2,1,3,1,1,592.26036958,592.26036958
85394,2,,1,1,1,1,1,1,1,2,1,3,2,1,577.94298132,577.94298132
85395,2,,1,1,1,2,1,1,1,2,1,3,2,1,664.22343784,664.22343784
85396,2,,1,1,1,2,1,1,1,2,1,3,2,1,709.38612428,709.38612428
85397,2,,1,2,1,1,1,1,2,2,1,2,1,1,526.22142862,560.29837457
85398,2,,1,2,1,1,1,1,2,2,1,2,1,1,585.98755461,698.23673675
85399,2,,1,1,1,1,1,1,1,2,1,3,1,1,775.87001399,775.87001399
85400,2,,1,2,1,1,1,1,2,2,1,2,1,1,541.32199203,564.76274486
85402,2,,1,2,1,1,1,1,2,2,1,2,1,1,542.49667165,535.29294463
85404,2,,1,2,1,1,1,1,2,2,1,2,2,1,573.32906532,519.50106015
85405,2,,1,2,1,1,1,1,2,2,1,2,1,1,586.87821266,566.66731098
85407,2,,1,2,1,1,1,1,2,2,1,2,1,1,601.97877606,571.13168127
85409,2,,2,1,1,2,1,2,1,1,1,3,1,1,327.20603462,
85410,2,,2,1,1,2,1,1,2,1,1,3,1,1,127.70220693,
85413,2,,2,1,1,1,1,2,2,1,1,3,1,1,121.01863911,
85414,2,,2,1,1,5,1,2,1,1,1,3,1,1,125.45395978,
85415,2,,2,1,1,2,1,2,1,1,1,2,1,1,196.70833653,
85416,2,,2,1,1,1,1,2,1,1,1,3,1,1,116.46112841,
85417,2,,2,1,1,2,1,2,2,1,1,3,1,1,236.86042844,
85418,2,,2,1,1,2,1,2,1,1,1,1,1,1,266.81601222,
85419,2,,2,1,1,2,1,3,1,1,1,2,1,1,201.0289805,
85420,2,,2,1,1,1,1,1,1,2,1,2,1,1,356.85037751,
85421,2,,2,1,1,1,1,1,1,2,1,2,1,1,136.731191,
85422,2,,2,1,1,2,1,2,1,1,1,3,1,1,345.42145814,
85423,2,,2,1,1,2,1,3,1,1,1,2,1,1,286.8663241,
85424,2,,2,1,1,2,1,3,1,1,1,3,1,1,196.53582725,
85425,2,,2,1,1,2,1,3,1,1,1,3,1,1,310.1943419,
85426,2,,2,1,1,2,1,1,1,1,1,3,1,1,268.35902866,
85427,2,,2,1,1,1,1,1,1,1,1,3,1,1,262.93342068,
85428,2,,2,1,1,1,1,2,1,1,1,2,1,1,176.42622273,
85429,2,,2,1,1,1,1,2,1,2,1,3,1,1,362.1036705,
85430,2,,2,1,1,1,1,2,1,1,1,2,1,1,402.36323191,
85431,2,,2,1,1,2,1,3,1,1,1,2,1,1,130.45008617,
85432,2,,2,1,1,2,1,3,1,1,1,3,1,1,137.86415196,
85433,2,,2,1,1,2,1,2,2,2,1,3,1,1,228.35832363,
85434,2,,2,1,1,2,1,2,1,1,1,2,1,1,402.36323191,
85435,2,,2,1,1,2,1,3,1,1,1,2,1,1,143.15264015,
85436,2,,2,1,1,1,1,1,1,2,1,2,1,1,113.64670421,
85437,2,,2,1,1,1,1,1,2,2,1,2,1,1,128.30998016,
85438,2,,2,1,1,1,1,2,1,1,1,3,1,1,168.83037155,
85439,2,,2,1,1,1,1,1,2,2,1,2,1,1,122.78572476,
85440,2,,2,1,1,1,2,,2,2,1,2,2,1,221.76915302,
85441,2,,2,1,1,1,1,1,2,2,1,2,1,1,257.8238686,
85442,2,,2,1,1,2,1,1,1,2,1,2,1,1,130.02406524,
85443,2,,2,1,1,1,1,1,1,2,1,2,1,1,273.23828373,
85444,2,,2,1,1,1,1,2,1,1,1,3,1,1,156.26421829,
85445,2,,2,1,1,1,1,3,1,1,1,3,1,1,65.656255603,
85446,2,,2,1,1,2,1,3,1,1,1,3,1,1,60.769418223,
85447,2,,2,1,1,1,1,2,1,1,1,3,1,1,196.70833653,
85448,2,,2,1,1,1,1,2,1,1,1,3,1,1,182.95955124,
85449,2,,2,1,1,2,1,3,1,1,1,3,1,1,153.52064806,
85450,2,,2,1,1,3,1,3,1,1,1,3,1,1,266.81601222,
85451,2,,2,1,1,2,1,2,1,1,1,2,1,1,156.26421829,
85452,2,,2,1,1,2,1,3,1,1,1,3,1,1,330.24465378,
85453,1,,2,1,1,2,1,1,1,1,1,3,1,1,1067.8713217,
85454,1,,2,1,1,1,1,2,1,1,1,3,1,1,1440.90296,
85455,1,,2,1,1,1,1,5,1,1,1,3,1,1,1117.2229852,
85456,1,,2,1,1,2,1,1,2,1,1,3,1,1,1318.0104793,
85457,1,,2,1,1,2,1,3,1,1,1,3,1,1,744.81532347,
85458,1,,2,1,1,1,1,1,1,1,1,3,1,1,1090.9215294,
85459,1,,2,1,1,1,1,5,1,1,1,3,1,1,1167.8782919,
85460,1,,2,1,1,1,1,5,1,1,1,3,1,1,1020.0627077,
85461,1,,2,1,1,1,1,5,1,1,1,3,1,1,1292.4334032,
85462,1,,2,1,1,1,1,1,1,1,1,3,1,1,1480.600012,
85464,1,,2,1,1,2,1,2,1,1,1,3,1,1,1660.028182,
85465,1,,2,1,1,2,1,1,1,1,1,3,1,1,956.22226441,
85466,1,,2,1,1,1,1,1,1,1,1,3,1,1,1234.9800743,
85467,1,,2,1,1,2,1,3,1,1,1,3,1,1,776.63368849,
85468,1,,2,1,1,1,1,1,1,1,1,3,1,1,1139.25226,
85469,1,,2,1,1,1,1,1,1,1,1,3,1,1,1067.8713217,
85470,1,,2,1,1,2,1,3,1,1,1,2,1,1,1120.3458318,
85472,1,,2,1,1,2,1,1,1,1,1,3,1,1,1159.6186886,
85473,1,,2,1,1,2,1,3,1,1,1,3,1,1,844.15691087,
85474,1,,2,1,1,1,1,5,1,1,1,3,1,1,1207.2932233,
85475,1,,2,1,1,1,1,5,1,1,1,3,1,1,1571.8941381,
85476,1,,2,1,1,1,1,5,1,1,1,3,1,1,1020.0627077,
85477,1,,2,1,1,1,1,5,1,1,1,3,1,1,1159.5656757,
85478,1,,2,1,1,2,1,3,1,1,1,3,1,1,773.04378381,
85479,1,,2,1,1,2,1,2,1,1,1,3,1,1,880.85533668,
85481,1,,2,1,1,2,1,2,1,1,1,3,1,1,927.69495088,
85482,1,,2,1,1,2,1,2,1,1,1,3,1,1,1536.1816046,
85483,1,,2,1,1,2,1,2,1,1,1,2,1,1,1392.8589029,
85484,1,,2,1,1,1,1,1,1,1,1,3,1,1,1347.2509902,
85485,1,,2,1,1,2,1,1,1,1,1,3,1,1,1437.8296138,
85486,1,,2,1,1,2,1,2,1,1,1,3,1,1,1556.0358776,
85487,1,,2,1,1,2,1,1,1,1,1,3,1,1,1313.9629138,
85488,1,,2,1,1,2,1,1,1,1,1,3,1,1,1147.4667173,
85489,1,,2,1,1,2,1,1,1,2,1,3,1,1,1222.4627169,
85490,1,,2,1,1,2,1,2,1,1,1,3,1,1,983.15751324,
85491,1,,2,1,1,2,1,2,1,1,1,3,1,1,1421.4939303,
85492,1,,2,1,1,1,1,1,1,1,1,3,1,1,1141.9044325,
85493,1,,2,1,1,1,1,1,1,1,1,3,1,1,1191.2298224,
85494,1,,2,1,1,2,1,1,1,1,1,3,1,1,1195.220291,
85495,1,,2,1,1,2,1,3,1,1,1,3,1,1,926.39578713,
85496,1,,2,1,1,2,1,1,1,1,1,3,1,1,1601.8069825,
85497,1,,2,1,1,2,1,2,1,1,1,3,1,1,1739.4280329,
85498,1,,2,1,1,2,1,2,1,1,1,3,1,1,1184.7306196,
85499,1,,2,1,1,2,1,3,1,1,1,3,1,1,726.21317726,
85500,1,,2,1,1,2,1,2,1,1,1,2,1,1,1146.4147866,
85501,1,,2,1,1,2,1,2,1,1,1,2,1,1,1107.0395599,
85502,1,,2,1,1,2,1,2,1,1,1,2,1,1,1146.4147866,
85503,1,,2,1,1,2,1,2,1,1,1,2,1,1,1146.4147866,
85504,1,,2,1,1,2,1,2,1,1,1,2,1,1,881.91431801,
85505,1,,2,1,1,2,1,2,1,1,1,3,1,1,1337.7256474,
85506,1,,2,1,1,2,1,2,1,1,1,3,1,1,1159.6186886,
85507,1,,2,1,1,2,1,2,1,1,1,3,1,1,1528.5530488,
85508,1,,2,1,1,2,1,1,1,1,1,3,1,1,1139.8833038,
85509,1,,2,1,1,1,1,2,1,1,1,3,1,1,1420.919491,
85510,1,,2,1,1,1,1,1,1,1,1,3,1,1,1437.8296138,
85511,1,,2,1,1,2,1,1,1,1,1,3,1,1,1158.3688788,
85512,1,,2,1,1,1,1,1,1,1,1,3,1,1,1273.7942073,
85513,1,,2,1,1,2,1,1,1,1,1,3,1,1,792.93853502,
85514,1,,2,1,1,1,1,1,1,1,1,3,1,1,805.20107252,
85515,1,,2,1,1,1,1,2,1,1,1,3,1,1,927.69495088,
85516,1,,2,1,1,2,1,3,1,1,1,3,1,1,1153.3010274,
