DIRECTORIO,REGION,DPTO_CAUCA,PDET,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P,FEX_P_PDET
83304,2,,2,1,1,1,1,1,1,1,1,3,1,1,910.12867692,
83305,2,,2,1,1,1,1,1,1,1,1,3,1,1,985.86384161,
83306,2,,2,1,1,1,1,0,2,2,2,,2,1,507.45325806,
83307,2,,2,1,1,1,1,0,2,2,2,,1,1,594.56344594,
83308,2,,2,1,1,1,1,0,2,2,2,,1,1,534.25779003,
83309,2,,2,1,1,1,1,0,2,2,2,,1,1,593.95848995,
83310,2,,2,1,1,1,1,0,1,1,2,,1,1,508.00636599,
83311,2,,2,1,1,1,1,0,2,1,2,,1,1,611.91631702,
83312,2,,2,1,1,1,1,0,2,2,2,,2,1,612.04807827,
83313,2,,2,1,1,1,1,0,1,1,1,1,1,1,612.04807827,
83314,2,,2,1,1,1,1,0,2,2,2,,1,1,575.2120976,
83315,2,,2,1,1,1,1,0,2,2,2,,1,1,506.79645402,
83316,2,,2,1,1,1,1,0,1,2,2,,1,1,532.77096153,
83317,2,,2,1,1,1,1,0,1,1,1,3,1,1,688.38281089,
83318,2,,2,1,1,1,1,0,1,2,1,2,1,1,731.75999573,
83319,2,,2,1,1,1,2,,1,1,1,3,1,1,610.41366134,
83320,2,,2,1,1,1,1,1,1,2,1,3,1,1,693.06800178,
83321,2,,2,1,1,1,1,1,2,2,1,3,1,1,931.83578164,
83322,2,,2,1,1,2,1,1,1,1,1,2,1,1,832.37158705,
83323,2,,2,1,1,1,1,1,1,2,1,3,1,1,809.53570688,
83324,2,,2,1,1,1,1,1,1,2,1,3,1,1,700.92278785,
83325,2,,2,1,1,2,1,1,1,2,1,3,1,1,644.4264896,
83326,2,,2,1,1,2,1,1,1,1,1,3,1,1,1038.7762036,
83327,2,,2,1,1,2,1,1,1,1,1,3,1,1,956.72401722,
83328,2,,2,1,1,2,1,1,1,1,1,3,1,1,1006.0479793,
83329,2,,2,1,1,1,1,0,1,1,1,3,2,1,809.53570688,
83330,2,,2,1,1,2,1,0,2,1,1,3,2,1,865.11792352,
83331,2,,2,1,1,1,1,0,1,1,1,3,2,1,878.96447998,
83332,2,,2,1,1,1,1,0,1,1,1,3,2,1,902.71444175,
83333,2,,2,1,1,2,1,0,2,1,1,3,1,1,677.88386587,
83334,2,,2,1,1,2,2,,2,2,1,3,2,1,953.26800667,
83335,2,,2,1,1,1,1,1,1,2,1,3,2,1,884.01770354,
83336,2,,2,1,1,1,1,1,1,2,1,3,1,1,588.33627496,
83337,2,,2,1,1,1,1,1,1,2,1,3,1,1,865.11792352,
83338,2,,2,1,1,1,1,1,1,2,1,3,1,1,847.96752004,
83339,2,,2,1,1,2,1,1,1,2,1,3,1,1,868.82511162,
83340,2,,2,1,1,1,1,1,1,2,1,3,1,1,1091.3402788,
83341,2,,2,1,1,1,1,1,1,2,1,3,1,1,1104.4933173,
83342,2,,2,1,1,2,1,1,1,1,1,3,1,1,1000.3159463,
83343,2,,2,1,1,1,1,1,1,1,1,3,1,1,1175.9134245,
83344,2,,2,1,1,2,1,1,1,1,1,3,1,1,934.62787206,
83345,2,,2,1,1,1,1,1,1,1,1,3,1,1,1120.8574294,
83346,2,,2,1,1,1,1,1,1,1,1,2,1,1,939.51958528,
83347,2,,2,1,1,1,1,1,1,2,1,3,1,1,1055.1403158,
83348,2,,2,1,1,1,1,0,2,2,1,3,2,1,934.62787206,
83349,2,,2,1,1,2,1,1,1,1,1,2,1,1,734.60708387,
83350,2,,2,1,1,1,2,,1,2,1,3,1,1,1022.4120914,
83351,2,,2,1,1,2,1,1,1,2,1,3,1,1,987.76326905,
83352,2,,2,1,1,1,2,,1,2,1,3,1,1,1055.3719413,
83353,2,,2,1,1,2,1,1,1,2,1,3,1,1,1022.4120914,
83354,2,,2,1,1,2,1,1,1,2,1,3,1,1,1114.2767437,
83355,2,,2,1,1,2,1,1,1,1,1,2,1,1,1126.5894624,
83356,2,,2,1,1,2,1,1,1,1,1,2,1,1,1016.4401,
83357,2,,2,2,1,1,1,1,1,2,2,,2,1,366.16785635,
83358,2,,2,2,1,1,1,1,2,2,2,,1,1,372.56612612,
83359,2,,2,2,1,1,1,1,1,2,2,,1,1,335.74782765,
